issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
validation-260,Locking of funds inside `PoolInitializer` contract.,validation-128,,Satisfactory,,20,:robot:_primary
validation-212,Authorization Bypass Due to Expired Timestamp Check,validation-116,,Satisfactory,,20,:robot:_18_group
validation-213,Incorrect token transfers will be unexpected behaviors,validation-213,"Invalid, known issue [M-3](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#m-3--solmates-safetransferlib-does-not-check-for-token-contracts-existence)",Unsatisfactory,,21,:robot:_34_group
validation-165,The MixedQuoteRouter would never be able to quote prices ,validation-165,Relevant functionalities present [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/periphery/lens/MixedRouteQuoterV1.sol#L110-L193),Unsatisfactory,,21,:robot:_primary
validation-30,"Anyone can access initialize() becoming the owner of the contract, bypassing critical functions. ",validation-30,"Invalid, known issue [L-8](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#l-8-initializers-could-be-front-run)",Unsatisfactory,,21,:robot:_107_group
findings-4,Missing gap in KatanaV3Pool,findings-4,,Unsatisfactory,,21,
validation-245,Misuse of Constants.CONTRACT_BALANCE as Input can lead to undesired fund flows and contract misbehavior,validation-245,,Unsatisfactory,,23,:robot:_primary
validation-66,Vulnerable Proxy Logic in KatanaV3PoolProxy.sol,validation-66,,Unsatisfactory,,23,:robot:_05_group
validation-247,Arbitrary Token Transfers without Validation  can lead to contract misbehavior or stuck funds.,validation-247,safe ERC20 operations are utilized accordingly within the `Payments.sol` contract,Unsatisfactory,,24,:robot:_primary
validation-205,Gas Limit and Looping vulnerability which can result to Denial of Service,validation-205,"Insufficient quality. Additionally, I don't see any loop when performing a withdrawal from the WETH contract, which in itself is OOS",Unsatisfactory,,24,:robot:_16_group
validation-204,Reentrancy vulnerability could lead to potentially draining of funds ,validation-204,"Invalid, reentrancy is not possible since there is the appropriate `isNotLocked/lock` modifier. Additionally, all issues lack concrete proof",Unsatisfactory,,24,:robot:_26_group
validation-69,Insufficient Flash Loan Protections in KatanaV3Pool.sol,validation-69,,Unsatisfactory,,24,:robot:_01_group
validation-68,Lack of Ownership Transfer Control in KatanaV3Factory.sol,validation-68,"Known issue, per code comments, `admin` is treated [as immutable](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/core/KatanaV3Factory.sol#L57)",Unsatisfactory,,24,:robot:_primary
validation-243,Missing access Control over `initialize` function.,validation-30,,Unsatisfactory,,25,:robot:_primary
validation-192,Potential for misuse of the map Function can lead to funds being sent to the wrong address or unauthorized actions being taken.,validation-192,,Unsatisfactory,,25,:robot:_45_group
validation-158,function `v2SwapExactInput` has a missing deadline parameter,,"Invalid, deadline is present in the `AggregateRouter.sol` execute function [here](https://github.com/ronin-chain/katana-operation-contracts/blob/27f9d28e00958bf3494fa405a8a5acdcd5ecdc5d/src/aggregate-router/AggregateRouter.sol#L31), which is the main entry point that calls into dispatcher dispatch function ",Unsatisfactory,,25,:robot:_primary
validation-244,Reentrancy vulnerability can lead to unauthorized fund withdrawals and loss of contract assets.,validation-204,,Unsatisfactory,,26,:robot:_26_group
validation-235,"Potential Misuse of Hardcoded Constants (ADDR_SIZE, V3_FEE_SIZE, V3_POP_OFFSET) which can lead to incorrect logic or data misinterpretations",validation-235,,Unsatisfactory,,26,:robot:_primary
validation-201," Lack of Input Validation could lead to executing unintended commands, resulting in financial losses.",validation-201,IAggregateRouter.sol is OOS. ,Unsatisfactory,,26,:robot:_00_group
validation-103,`v3SwapRouter` is vulnerable to address collision,validation-51,,Satisfactory,,27,:robot:_37_group
validation-203,Lack of Access Control in deposit and withdraw Functions could lead to financial Loss and DoS,validation-203,"WETH contract is OOS, and the deposit and withdrawal are gated to the caller represented by `msg.sender`, users cannot call in place of  any arbitrary user",Unsatisfactory,,27,:robot:_23_group
validation-200,Transaction Expiration leading to potential confusion and financial discrepancies.,validation-200,"IAggregateRouter is OOS, and the deadline checks are checked appropriately via the [`checkDeadline` modifier](https://github.com/ronin-chain/katana-operation-contracts/blob/27f9d28e00958bf3494fa405a8a5acdcd5ecdc5d/src/aggregate-router/AggregateRouter.sol#L13-L16)",Unsatisfactory,,27,:robot:_primary
validation-191,Visibility of internal state variables leading to unauthorized actions,validation-191,There is no impact here whether or not `lockedBy` is private of public since it is simply used a reentrancy protection via the `isNotLocked` modifier ,Unsatisfactory,,27,:robot:_primary
validation-187,Authorization Bypass in Permit Functions could result in unauthorized transfers or allowance abuse.,validation-187,The necessary checks are performed within the `AllowanceTransfer` permit contract it cannot be performed arbitrarily,Unsatisfactory,,27,:robot:_primary
validation-184,Improper access control that can lead to potential fund loss or privilege escalation,validation-184,"There is no issue with dipatch being permisionless. It is the reponsibility of users to enter relevant inputs. More specifically, they are encouraged to use the AggregateRouter instead.",Unsatisfactory,,27,:robot:_23_group
validation-182,Unchecked external call failures resulting in potential fund loss or unexpected behavior.,validation-182,"Invalid, safe ERC20 operations are utilized accordingly within the `Payments.sol` contract",Unsatisfactory,,28,:robot:_34_group
validation-27,[H-1] Funds locked in contract that has payable functions but no `withdraw` function,validation-27,"Invalid/Informational/Low, known issue [L-7](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#l-7-empty-receivepayable-fallback-function-does-not-authenticate-requests). Additionally, users are responsible for performing swaps appropriately, and can utilize `sweep` via a multicall to clawback excess funds.",Unsatisfactory,,28,:robot:_21_group
validation-102,Use of `slot0` to get `sqrtPriceX96` can lead to price manipulation.,validation-102,"Likely invalid and OOS per [contest details](https://github.com/code-423n4/2024-10-ronin?tab=readme-ov-file#automated-findings--publicly-known-issues). This is likely a known uniswapv3 issue: 'All public known issues, including public audit reports of Uniswap V3 that affect Katana V3.' Many issues lack sufficient description of the issue as well, e.g. #178, #47",Satisfactory,,29,:robot:_03_group
validation-196,Potential Misuse of Governance Address,validation-196,This function does not exist,Unsatisfactory,,29,:robot:_primary
validation-186,Balance Manipulation in BALANCE_CHECK_ERC20 leading to unauthorized operations or bypassing intended validations.,validation-186,OOS per [here](https://github.com/code-423n4/2024-10-ronin?tab=readme-ov-file#erc20-token-behaviors-in-scope),Unsatisfactory,,29,:robot:_102_group
validation-67,Unsecured Position Handling in NonfungiblePositionManager.sol,,,Unsatisfactory,,29,:robot:_primary
validation-128,ETH Dust Accumulation in `createAndInitializePoolIfNecessary`,validation-128,"Would require user error, QA/low could be more appropriate",Satisfactory,,30,:robot:_24_group
validation-209,Unrestricted command execution could lead to malicious actions by unauthorized actors.,,,Unsatisfactory,,30,:robot:_primary
validation-197,Lack of event emission making debugging and monitoring difficult ,validation-197,This function does not exist,Unsatisfactory,,30,:robot:_primary
validation-189,Locked State Bypass which can lead to unexpected behavior and could allow unauthorized actions to be performed,validation-189,,Unsatisfactory,,30,:robot:_35_group
validation-183,Insufficient input validation may lead to loss of funds due to invalid or malicious input data.,validation-183,,Satisfactory,,30,:robot:_00_group
validation-202,Error Handling making debugging more difficult,validation-202,IAggregateRouter is OOS. The declared errors are utilized in `AggregateRouter.sol` appropriately,Unsatisfactory,,31,:robot:_primary
validation-194,Lack of access control can lead to unauthorized changes to critical addresses.,validation-194,This function does not exist,Unsatisfactory,,31,:robot:_12_group
validation-174, Precision Loss in `getAmountOut` Function Leads to Incorrect Price Calculations,validation-174,"Likely Informational/QA, the values used seems unrealistic and not accounted for scaled up decimals. Additionally uniswap uses similar logic as seen [here](https://github.com/Uniswap/v2-periphery/blob/0335e8f7e1bd1e8d8329fd300aea2ef2f36dd19f/contracts/libraries/UniswapV2Library.sol#L43-L50)",Satisfactory,,32,:robot:_primary
validation-111, Missing `address(0)` while initializing the `PeripheryImmutableState` in his constructor.,validation-111,"Note, this are not present in the automated finding report for known issues. Grouping all address(0) input validation checks together. They should all likely be at most QA and argubly invalid based on the following [READ.ME information](https://github.com/code-423n4/2024-10-ronin?tab=readme-ov-file#automated-findings--publicly-known-issues): ' Centralization risk. Sky Mavis is responsible for maintaining the Katana V3 contracts and will able to upgrade the contract if necessary, as well as specify additional fee tiers.'  #101 would require a user error. ",Satisfactory,,32,:robot:_primary
validation-228,"Potential Ambiguity with MSG_SENDER and ADDRESS_THIS Flags could lead to unauthorized access, improper transaction routing, or ambiguous transfer flows.",validation-228,,Unsatisfactory,,32,:robot:_primary
validation-222,ETH Address (address(0)) Flagging Issue  could lead to loss of funds,validation-222,Don't see the issue using address zero as a flag to represent ETH,Unsatisfactory,,32,:robot:_primary
validation-214,Lock modifier can be bypassed thereby allowing reentrancy by proxy call of flash function,,,Unsatisfactory,,32,:robot:_01_group
validation-195,No Validations on Addresses could lead to loss of funds or non-functional contract features,,,Unsatisfactory,,32,:robot:_12_group
validation-55,Update solc version and use `unchecked` in Uniswap related libraries,,,Unsatisfactory,,32,:robot:_primary
validation-140,Incorrect handling of Fee Accounting,validation-140,"This seems invalid, the feeGrowthGlobal tracks the fees minus the flashloan fees transferred to the treasury.",Satisfactory,,33,:robot:_primary
validation-230,"Missing ETH Withdrawal Function in `AggregateRouter.sol` Contract, Causing Potential Funds Lock",validation-27,,Unsatisfactory,,33,:robot:_21_group
validation-215,"Misuse of CONTRACT_BALANCE as an input source could potentially allow unauthorized transactions, fund withdrawals, or unintended access.",validation-215,Insufficient proof,Unsatisfactory,,33,:robot:_102_group
validation-206,Gas Limit and Looping Vulnerability may cause Transactions to  fail due to gas limits.,validation-206,"Insufficient proof, also speculate on how other contracts utilize funcitonalities",Unsatisfactory,,33,:robot:_16_group
validation-181,Reentrancy vulnerability that can lead to substantial financial loss ,validation-181,"Dispatch is meant to invoked within the AggregateRouter, where there is an isNotLocked modifier that serves as reentrancy protection. This issue also lacks sufficient proof that an exploit is possible",Unsatisfactory,,33,:robot:_26_group
validation-252,No way for governance to properly update `feeProtocolNum` and `feeProtocolDen`,validation-252,,Satisfactory,,35,:robot:_primary
validation-207,Lack of Input validation may result in erroneous execution or command handling failure,validation-207,"Insufficient proof, also speculate on how contracts utilize funcitonalities",Unsatisfactory,,35,:robot:_00_group
validation-152,swap function lacks parameter for controlling slippage,validation-152,"Swaps are meant to be executed via the `AggregateRouter` as evident by the [check](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/core/KatanaV3Pool.sol#L560-L562), in which slippage is checked within the `V3SwapRouter.sol` appropriately",Unsatisfactory,,35,:robot:_49_group
validation-107,Lack of `address(0)` in the `KatanaGovernance::_setFactory` function,validation-111,,Satisfactory,,36,:robot:_10_group
validation-188,Reentrancy vulnerability causing unexpected behavior or altering the state of the contract in an unintended way.,validation-188,"Insufficient proof, also speculate on how contracts utilize funcitonalities ",Unsatisfactory,,36,:robot:_26_group
validation-74,Wrong init code hash,validation-74,There is no issue with utilizing a different init code hash as long as it is consistent with previously created token pairs. #151 is also invalid because the warden is referring to a testnet deployment of the contract `KatanaV2LibraryTestnet.sol` which is [OOS of this contest](https://github.com/code-423n4/2024-10-ronin?tab=readme-ov-file#files-out-of-scope),Unsatisfactory,,36,:robot:_15_group
validation-199,Direct ETH sending could lead to loss of funds sent to the contract mistakenly.,validation-27,,Unsatisfactory,,37,:robot:_21_group
validation-127, Price Manipulation Vulnerability in `PoolInitializer` Due to `sqrtPriceX96` Dependency,validation-102,,Satisfactory,,38,:robot:_03_group
validation-113,"Unexpected Zero-Fee Transactions: Since the fee amount is zero, transactions or pools using this fee setting might execute without any fees. This could result in lost revenue, particularly if the contract is intended to generate income through these fees.",validation-113,There is no indication that zero-fee pools cannot be allowed,Unsatisfactory,,38,:robot:_09_group
validation-104,Use of slot0 which is extremely manipulatable,validation-102,,Satisfactory,,39,:robot:_03_group
validation-32,Incorrect refund calculation in V3Migrator contract,validation-32,"This looks invalid, the full amount sent is burned [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/periphery/V3Migrator.sol#L42) based on `liquidityToMigrate`,  so any remaining tokens still existing in v1 should be refunded to user and the computation seems correct.",Satisfactory,,39,:robot:_primary
validation-126,Optimizer Bug in Low-Level Calls for Solidity Versions < 0.8.14,validation-126,"Insufficient proof and description, simply states the following without specifying context of impact to protocol. ' In this case, if the optimizer mistakenly removes memory operations deemed unnecessary, subsequent calls relying on these values may operate on outdated data, potentially leading to erroneous behavior or exploits.'",Unsatisfactory,,39,:robot:_primary
validation-178,Usage of slot 0 to get sqrtPriceLimitX96 can be easily manipulated,validation-102,,Satisfactory,,40,:robot:_03_group
validation-198,"Lack of access control leading to potential unauthorized actions like token transfers, swaps, or other sensitive operations.",validation-198,There is no issue with execution being permisionless. It is the reponsibility of users to enter relevant inputs to perform the necessary actions.,Unsatisfactory,,40,:robot:_23_group
validation-12,Number of NFT positions mintable are limited due to the data type used for tracking the next token id,validation-126,"This is the same exact implementation as [uniswapV3](https://github.com/Uniswap/v3-periphery/blob/main/contracts/NonfungiblePositionManager.sol#L64-L66). 'All public known issues, including public audit reports of Uniswap V3 that affect Katana V3'",Unsatisfactory,,40,:robot:_primary
validation-250,Wrong and unexpected parameters passed to constructor in `KatanaV3PoolProxy`.,validation-106,,Satisfactory,,41,:robot:_primary
validation-145,Reentrancy Vulnerability in swap Function of KatanaV3Pool.sol,validation-204,,Unsatisfactory,,41,:robot:_01_group
validation-231,KatanaGovernance::_isAuthorized function allows user to perform action even after expiry time has passed.,validation-116,,Satisfactory,,43,:robot:_18_group
validation-57,Leftover ETH by the previous liquidator provider might be stolen by another liquidator provider. ,validation-98,,Satisfactory,,43,:robot:_primary
validation-147,Reentrancy Vulnerability in multicall Function of KatanaInterfaceMulticall.sol,validation-147,`KatanaInterfaceMulticall` is OOS of this contest,Unsatisfactory,,43,:robot:_26_group
validation-129,Missing Token Order Check in KatanaV3PoolDeployer.deploy(),validation-129,This check is performed in  `KatanaV3Factory.sol` as seen [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/core/KatanaV3Factory.sol#L80-L82),Unsatisfactory,,43,:robot:_primary
validation-115,Permission denied by frontrunning permit,validation-115,,Satisfactory,,44,:robot:_53_group
validation-148,Missing Fee Parameter in pairFor Function Leads to Incorrect Pair Address Calculation,validation-148,,Satisfactory,,45,:robot:_primary
validation-255,Beacon is not showed up as a proxy to block explorers or can be set any contract's address as beacon,,,Unsatisfactory,,45,:robot:_primary
validation-116,Wrong implementation of accesss control for KatanaGovernance._authorized(),validation-116,,Satisfactory,,46,:robot:_primary
validation-71,Lack of protection against multiple initialisations in the constructor of the `KatanaV3Factory` contract,validation-71,"Invalid, known issue [L-17](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#l-17-upgradeable-contract-not-initialized). Also this is not compulsory as long as the admin run an appropriate transaction/script that ensures initialization of an upgraded factory contract",Unsatisfactory,,46,:robot:_primary
validation-2,"Payments.sol#pay() should check ""value"" if (token == Constants.ETH)",validation-2,"Insufficient quality. Additionally, the [value is cached here](https://github.com/ronin-chain/katana-operation-contracts/blob/27f9d28e00958bf3494fa405a8a5acdcd5ecdc5d/src/aggregate-router/base/Dispatcher.sol#L106), so there is no need to check value",Unsatisfactory,,46,:robot:_primary
validation-130,Missing Token Existence Check in `NonfungibleTokenPositionDescriptor.tokenURI(),validation-130,"Likely OOS, UniswapV3 utilizes same design as seen [here](https://github.com/Uniswap/v3-periphery/blob/main/contracts/NonfungibleTokenPositionDescriptor.sol#L48-L93). Additionally, it will have no impact on core contract functionalities. 'All public known issues, including public audit reports of Uniswap V3 that affect Katana V3.'",Unsatisfactory,,47,:robot:_primary
validation-101,Missing `address(0)` check in the `Payments::pay` function.,validation-101,,Satisfactory,,48,:robot:_primary
validation-108,Lack of tokens check in the `KatanaGovernance::createPair` function,validation-108,"Checks would be implemented within `v2Factory.sol`, see similar checks in uniswapv2 factory [here](https://github.com/Uniswap/v2-core/blob/ee547b17853e71ed4e0101ccfd52e70d5acded58/contracts/UniswapV2Factory.sol#L24-L26)",Unsatisfactory,,48,:robot:_primary
validation-265,Malicious Pool Deployment with Create2: Address Collision,validation-265,"This is essentially a non-issue, if the user wants to deploy the pool for another user, there is no DoS here since the outcome is acheived and the original user could arguably have spent less gas from the revert.",Unsatisfactory,,49,:robot:_37_group
validation-84,Expired Accounts Continue To be Authorized,validation-116,,Satisfactory,,50,:robot:_18_group
validation-246,"Wrong Implementation, `KatanaV3Factory` never be initialized.",validation-106,,Satisfactory,,51,:robot:_100_group
validation-161,KatanaV3Pool.sol cannot initializeImmutables,validation-106,,Satisfactory,,51,:robot:_04_group
validation-72,Use of `slot0` to get `sqrtPriceLimitX96` can lead to price manipulation.,validation-102,,Satisfactory,,51,:robot:_03_group
validation-11,TokenURI generation NFT position is buggy,validation-11,"There is no issue here, see the identical uniswap implementation [here](https://github.com/Uniswap/v3-periphery/blob/main/contracts/NonfungibleTokenPositionDescriptor.sol#L35-L45). The length will increment to 5, not 4, there is no issue here",Unsatisfactory,,51,:robot:_08_group
validation-167, Insufficient Return Check for createPool in createAndInitializePoolIfNecessary Function,validation-167,This is checked within the OZ Create2.sol contract when `deploy` is called [here](https://github.com/OpenZeppelin/openzeppelin-contracts/blob/v4.8.0/contracts/utils/Create2.sol#L41),Unsatisfactory,,53,:robot:_69_group
validation-62, The token get burnt too early when collecting the fee.,validation-62,"The reason the check is not required is because `tokensOwed0` and `tokensOwed1` will always default to zero after a collect call. In [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/periphery/NonfungiblePositionManager.sol#L390-L393), we assign the current full amount of `tokensOwed0` and `tokensOwed1` if it does not exceed uin128.max determined by the amount0Max and amount1Max flags as seen [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/periphery/NonfungiblePositionManager.sol#L354-L356) (which in itself is highly unrealistic). As such when the subsequent full decrementation happens [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/periphery/NonfungiblePositionManager.sol#L407), `position.tokensOwed0` and `position.tokensOwed1` will default to zero",Unsatisfactory,,53,:robot:_30_group
validation-78,Address Collision Can Cause Stolen Funds,validation-51,,Satisfactory,,54,:robot:_37_group
validation-256,Users at Risk of Price Manipulation Due to Absence of Liquidity Thresholds and Whitelisting,validation-256,It doesn't make sense to restrict the amount of liquidity during pool creation. It is users responsibility to decide which pools they are willing to interact with. This also has the exact same implementation as Uniswap as seen [here](https://github.com/Uniswap/v3-core/blob/main/contracts/UniswapV3Factory.sol#L35-L51),Unsatisfactory,,54,:robot:_02_group
validation-254,Potential Loss of Tokens Due to Incomplete Collection Check Before Burning Position,validation-62,,Unsatisfactory,,54,:robot:_primary
validation-110,Type mismatch in the `AuthorizationLib::checkPair` function,validation-110,See [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/external/interfaces/IKatanaGovernance.sol#L169),Unsatisfactory,,54,:robot:_22_group
validation-82,Improper Handling of Negative Token Amounts in mint Function (Casting Signed Integers to Unsigned Integers),validation-82,"The values returned by functions within `SqrtPriceMath` called by `_modifyPosition` will always return unsigned ints, so this is a non-issue.",Unsatisfactory,,54,:robot:_primary
validation-133,Expired Accounts Retain Access Due to Flawed Expiry Validation in Authorization Logic,validation-116,,Satisfactory,,55,:robot:_18_group
validation-100,OOG / unexpected reverts due to incorrect usage of staticcall.,validation-100,"`balance0` is a view function, there is no state change, it is simply to retrieve the balance of token0 within the pool.",Unsatisfactory,,55,:robot:_primary
validation-146,Reentrancy Vulnerability in multicall Function of Multicall.sol,validation-146,Multicall.sol is OOS of this contest,Unsatisfactory,,57,:robot:_26_group
validation-259,Potential overestimation of liquidity,validation-121,,Satisfactory,,58,:robot:_89_group
validation-132,amount of token minted by a user is not updated,validation-132,This is done via `addLiquidity` which eventually calls `_modifyPosition` to track the users minted position,Unsatisfactory,,58,:robot:_51_group
validation-42,The `KatanaV3Pool.initializeImmutables` Function is Prone to Denial of Service (DoS) Attacks,validation-106,,Satisfactory,,60,:robot:_primary
validation-14,"immutable variables are not initialised, breaks functionality",validation-106,,Satisfactory,,60,:robot:_04_group
validation-19,"Fixed addresses for USDC, WETH, and WBTC in `NonfungibleTokenPositionDescriptor` contract can lead to misbehavior in the contract's logic, causing failures or inaccuracies in metadata generation",validation-19,The only chain the contracts are deployed on is the Ronin chain as noted [here](https://github.com/code-423n4/2024-10-ronin?tab=readme-ov-file#general-questions),Unsatisfactory,,62,:robot:_primary
validation-208,"Unvalidated `msg.value` in `AggregateRouter::execute()` Allows Unauthorized `WRAP_ETH` and `UNWRAP_WETH` Operations, Potentially Leading to Contract Fund Drain",validation-208,"Likely QA/informational, multicall with sweep/pay can likely be utilized. ",Satisfactory,,63,:robot:_50_group
validation-143,require nextId to be zero will always revert due to nextId already initialized to 1,validation-143,"At most Gas issue since those variables are already appropriately initialized, so no issues here since `initialize` won't be required to be called again.",Satisfactory,,63,:robot:_primary
validation-157,Reentrancy can lead to flash loan attack ,validation-204,,Unsatisfactory,,64,:robot:_01_group
validation-70,Lack of Event Emission After Tick Updates in Tick.sol,validation-70,Tick.sol is OOS of this contest. Additionally the upper level contracts utilizing the library will have the appropriate vents.,Unsatisfactory,,64,:robot:_primary
validation-253,slot0 Reliance in swap Allows Price Manipulation,validation-102,,Satisfactory,,66,:robot:_03_group
validation-169,V3SwapRouter.V3SwapExactOutput() has the wrong implementation since it applies the ,validation-169,,Satisfactory,,67,:robot:_19_group
validation-106,`initialize` will never execute in `KatanaV3Factory` and `KatanaV3Pool`,validation-106,,Satisfactory,,67,:robot:_100_group
validation-75,Functions in AggregateRouter dont allow reverts,validation-75,,Satisfactory,,69,:robot:_primary
validation-220,Pool ID Overflow in cachePoolKey Can Cause Mapping Collisions and System Inconsistency,validation-220,"This is highly unrealistic, there isn't even enough tokens existing out there to create that many pools to cause an overflow of uint80 max that means > 1208925819614629174706175  would have existed. Additionally, uniswap retains a similar design as seen [here](https://github.com/Uniswap/v3-periphery/blob/main/contracts/NonfungiblePositionManager.sol#L122C40-L122C51), with the same [solidity version](https://github.com/Uniswap/v3-periphery/blob/main/contracts/NonfungiblePositionManager.sol#L2) ",Unsatisfactory,,69,:robot:_primary
validation-25,Potential loss of burned liquidity tokens in partial collections,,,Unsatisfactory,,69,:robot:_30_group
validation-4,Overflow can lead to liquidity replacement,validation-220,,Unsatisfactory,,70,:robot:_primary
validation-249,Lack of Emergency Pause Mechanism in KatanaV3Pool,validation-249,"Not required, speculate on the need of a emergency mechanism. Additionally [uniswap does not incorporate a pause mechanism as well](https://github.com/Uniswap/v3-core/blob/main/contracts/UniswapV3Pool.sol)",Unsatisfactory,,72,:robot:_primary
validation-23,Incorrect use of `CREATE2` in `KatanaV3PoolDeployer` contract,validation-265,,Unsatisfactory,,72,:robot:_37_group
findings-3,Authorisation check for minting positions for V3 pools in the `nfpManager` is pointing to the v2Factory,findings-3,,Satisfactory,,73,
validation-168,Mismatch in Pool Proxy Initialization Code Hash,validation-168,"The POOL_PROXY_INIT_CODE exists in the KatanaV3PoolBeacon contract, not the KatanaV3PoolProxy contract",Unsatisfactory,,73,:robot:_15_group
validation-73,Issues with unsafe ERC20 operations,validation-213,,Unsatisfactory,,76,:robot:_34_group
validation-237,Address Collision Attack Using CREATE2 in Katana V3 Pool Deployment,validation-51,,Satisfactory,,77,:robot:_37_group
validation-117,NonfungiblePositionManager.increaseLiquidity() has missed the ```isAuthorizedForToken(params.tokenId)``` modifier.,validation-117,"The issues #9, #93, #24 and #76 are dupes of 117, but the impact described is insufficient as it did not talk about the potential DoS of burning. Adding liquidity for other users will only benefit the original LP. Uniswap utilizes the same design as seen [here](https://github.com/Uniswap/v3-periphery/blob/main/contracts/NonfungiblePositionManager.sol#L198-L254), so I believe those should be considerered those QA/invalid.",Satisfactory,,79,:robot:_07_group
validation-98,"When minting or increasing liquidity through NonfungiblePositionManager, excess ETH sent to the contract is not refunded",validation-98,"This might be OOS, since uniswap has the same exact design as seen [here](https://github.com/Uniswap/v3-periphery/blob/main/contracts/base/PeripheryPayments.sol#L52-L69). Additionally, if the user utilizes a multicall, this would be a non-issue. 'All public known issues, including public audit reports of Uniswap V3 that affect Katana V3'",Satisfactory,,80,:robot:_74_group
validation-83,LPholders can be prevented from burning their position NFTs,validation-117,,Satisfactory,,82,:robot:_07_group
validation-99,"Possibility of underflow without revert in the `V2SwapRouter::_v2Swap` function, which can be exploited by a malicious user to steal funds.",,,Unsatisfactory,,82,:robot:_primary
validation-159,AggregateRouter doesn't refund unspent ETH after swapping,validation-208,,Unsatisfactory,,84,:robot:_primary
validation-105,"KatanaGovernance::createPair(), Any unauthorized account can create pair with any expired token due to logical error in KatanaGovernance::_isAuthorized() function.",validation-116,,Satisfactory,,85,:robot:_18_group
